site_name,latitude,longitude,state,com_type,commod1,dep_type,prod_size,dev_stat,ore,work_type,hrock_type,arock_type
Concesion,-3.6249,-77.8031,Amazonas,M,Gold,,U,Occurrence,,,,
"Tamborapa, Consecion",-5.37621,-78.73312,Amazonas,M,Gold,,U,Occurrence,,,,
"Chinchillo No 1, Mina",-6.83475,-77.9931,Amazonas,M,Copper,,N,Occurrence,,,Andesite,Granite
Prospecto,-6.69142,-77.75976,Amazonas,M,Gold,,U,Occurrence,,,,
"Lopez, Prospecto",-6.58142,-77.80255,Amazonas,M,Gold,,Y,Occurrence,,,,
"Santa Ursula, Mina",-9.78129,-77.64976,Ancash,M,"Zinc, Lead, Silver",,N,Occurrence,,,Andesite,"Tuff,Volcanic Breccia (Agglomerate),Andesite"
"Rosita De Oro, Mina",-9.55797,-77.05307,Ancash,M,"Silver, Lead",,M,Producer,,Surface/Underground,Limestone,Dacite
"Delicias, Mina",-9.49797,-77.41642,Ancash,M,"Lead, Silver",,S,Past Producer,Galena,Unknown,Limestone,
"Huamayara, Mina",-8.38135,-78.38311,Ancash,M,"Silver, Gold",,Y,Past Producer,,,Diorite,Diorite
"Santo Toribio Fc, Mina",-9.49797,-78.0831,Ancash,M,"Lead, Copper, Silver",,N,Occurrence,,,Diorite,"Diorite,Andesite"
"Poderosa, Mina",-9.3313,-77.16642,Ancash,M,"Lead, Silver",,M,Producer,Galena,,Quartzite,Andesite
"San Miguel, Mina",-9.49797,-77.16642,Ancash,M,"Lead, Silver",,S,Past Producer,Galena,Underground,Limestone,
"San Jose, Mina",-8.19802,-77.89977,Ancash,M,"Lead, Silver",,S,Past Producer,,,Limestone,
"Sara Luisa, Mina.",-8.19802,-77.89977,Ancash,M,"Silver, Lead",,S,Past Producer,,,Limestone,Diorite
"San Agustin De La Alta Gracia, Mina",-8.19802,-77.83309,Ancash,M,"Zinc, Lead, Silver",,Y,Past Producer,Galena,,Limestone,Diorite
"Estibina, Mina",-8.16469,-77.83309,Ancash,M,"Silver, Antimony",,Y,Past Producer,Galena,,Limestone,Diorite
"Senor De La Soledad De Recuay, Mina",-9.66463,-77.49976,Ancash,M,"Silver, Lead, Zinc",,Y,Past Producer,Galena,,Andesite,"Volcanic Breccia (Agglomerate),Andesite"
"Santisima Cruz De Pedro Urraca, Mina",-8.33135,-77.96644,Ancash,M,"Silver, Gold",,Y,Past Producer,,,Slate,
"Santon, Mina",-9.88128,-77.04974,Ancash,M,"Lead, Zinc, Silver",,S,Past Producer,,,Andesite,Andesite
